Number of Elements,CPU Time (ms),GPU Time (ms)
16,0.00206,0.52312
32,0.00414,0.0511
64,0.00622,0.0488
128,0.01428,0.05114
256,0.02662,0.04836
512,0.06694,0.0472
1024,0.12108,0.0488
2048,0.25436,0.04752
4096,0.46002,0.0517
8192,0.96468,0.19718
16384,1.98998,0.18514
32768,4.08668,0.19444
65536,8.1422,0.20266
131072,17.0871,0.24686
262144,33.8257,0.78018
524288,66.4902,1.77906
1048576,135.183,1.19844
2097152,272.164,2.23862
4194304,555.44,2.72106
8388608,1129.69,37.9156
16777216,2314.99,83.5795
33554432,4667,162.351
67108864,9576.69,81.424
134217728,19292.1,61.6486
268435456,40246.5,120.569
